tid	season	rooftype	game_played	plays	fumbles_lost
CHI	2002	OUTDOOR	12	741	22
CHI	2003	INDOOR	3	153	7
CHI	2003	OUTDOOR	13	848	18
CHI	2004	INDOOR	2	126	3
CHI	2004	OUTDOOR	14	841	32
CHI	2005	INDOOR	2	121	4
CHI	2005	OUTDOOR	14	816	28
CHI	2006	INDOOR	3	197	0
CHI	2006	OUTDOOR	12	790	24
CHI	2006	RETRACTABLE	1	55	2
CHI	2007	INDOOR	2	136	7
CHI	2007	OUTDOOR	14	899	27
CHI	2008	INDOOR	4	256	4
CHI	2008	OUTDOOR	10	616	12
CHI	2008	RETRACTABLE	2	119	3
CHI	2009	INDOOR	3	172	6
CHI	2009	OUTDOOR	13	799	20
CHI	2010	INDOOR	2	116	2
CHI	2010	OUTDOOR	12	709	16
CHI	2010	RETRACTABLE	2	111	1
CHI	2011	INDOOR	2	120	7
CHI	2011	OUTDOOR	13	792	19
CHI	2011	RETRACTABLE	1	66	0
CHI	2012	INDOOR	1	73	1
CHI	2012	OUTDOOR	12	744	14
CHI	2012	RETRACTABLE	3	182	5
CHI	2013	INDOOR	3	205	7
CHI	2013	OUTDOOR	13	808	14
CHI	2014	INDOOR	3	187	0
CHI	2014	OUTDOOR	13	818	19
CIN	2002	INDOOR	2	132	4
CIN	2002	OUTDOOR	13	860	22
CIN	2002	RETRACTABLE	1	62	0
CIN	2003	INDOOR	1	55	0
CIN	2003	OUTDOOR	15	983	16
CIN	2004	OUTDOOR	16	1004	17
CIN	2005	INDOOR	1	76	2
CIN	2005	OUTDOOR	15	942	16
CIN	2006	INDOOR	2	116	6
CIN	2006	OUTDOOR	14	878	19
CIN	2007	OUTDOOR	16	1008	20
CIN	2008	OUTDOOR	14	867	24
CIN	2008	RETRACTABLE	2	117	3
CIN	2009	INDOOR	1	53	2
CIN	2009	OUTDOOR	15	958	22
CIN	2010	INDOOR	1	74	2
CIN	2010	OUTDOOR	14	907	17
CIN	2010	RETRACTABLE	1	65	2
CIN	2011	INDOOR	1	61	3
CIN	2011	OUTDOOR	15	954	14
CIN	2012	OUTDOOR	16	1016	19
CIN	2013	INDOOR	1	53	1
CIN	2013	OUTDOOR	15	1044	19
CIN	2014	INDOOR	2	113	3
CIN	2014	OUTDOOR	14	905	17
CLE	2002	INDOOR	1	60	1
CLE	2002	OUTDOOR	15	933	17
CLE	2003	OUTDOOR	16	961	32
CLE	2004	OUTDOOR	15	859	32
CLE	2004	RETRACTABLE	1	62	0
CLE	2005	INDOOR	2	117	3
CLE	2005	OUTDOOR	13	761	22
CLE	2005	RETRACTABLE	1	60	2
CLE	2006	INDOOR	1	54	2
CLE	2006	OUTDOOR	14	820	18
CLE	2006	RETRACTABLE	1	64	3
CLE	2007	INDOOR	1	56	0
CLE	2007	OUTDOOR	14	885	20
CLE	2007	RETRACTABLE	1	63	2
CLE	2008	OUTDOOR	16	921	17
CLE	2009	INDOOR	1	75	0
CLE	2009	OUTDOOR	15	896	21
CLE	2010	INDOOR	1	46	1
CLE	2010	OUTDOOR	15	881	28
CLE	2011	OUTDOOR	14	895	17
CLE	2011	RETRACTABLE	2	129	5
CLE	2012	OUTDOOR	14	870	19
CLE	2012	RETRACTABLE	2	128	3
CLE	2013	INDOOR	1	75	1
CLE	2013	OUTDOOR	15	1003	16
CLE	2014	INDOOR	1	71	2
CLE	2014	OUTDOOR	15	939	14
DAL	2002	INDOOR	3	182	7
DAL	2002	OUTDOOR	12	709	23
DAL	2002	RETRACTABLE	1	57	3
DAL	2003	INDOOR	2	144	5
DAL	2003	OUTDOOR	14	918	21
DAL	2004	INDOOR	1	73	4
DAL	2004	OUTDOOR	15	931	22
DAL	2005	OUTDOOR	16	1071	36
DAL	2006	INDOOR	1	59	4
DAL	2006	OUTDOOR	14	893	15
DAL	2006	RETRACTABLE	1	63	2
DAL	2007	INDOOR	1	63	3
DAL	2007	OUTDOOR	15	912	17
DAL	2008	INDOOR	1	59	2
DAL	2008	OUTDOOR	14	857	23
DAL	2008	RETRACTABLE	1	63	4
DAL	2009	INDOOR	1	73	0
DAL	2009	OUTDOOR	7	453	11
DAL	2009	RETRACTABLE	8	494	9
DAL	2010	INDOOR	1	60	0
