tid	season	rooftype	game_played	plays	fumbles_lost
OAK	2008	OUTDOOR	15	860	27
OAK	2009	OUTDOOR	14	825	26
OAK	2009	RETRACTABLE	2	119	4
OAK	2010	OUTDOOR	15	970	30
OAK	2010	RETRACTABLE	1	70	2
OAK	2011	INDOOR	1	68	1
OAK	2011	OUTDOOR	15	947	15
OAK	2012	INDOOR	1	68	2
OAK	2012	OUTDOOR	15	964	20
OAK	2013	INDOOR	1	63	0
OAK	2013	OUTDOOR	14	882	26
OAK	2013	RETRACTABLE	1	55	1
OAK	2014	INDOOR	1	75	3
OAK	2014	OUTDOOR	15	919	25
PHI	2002	OUTDOOR	16	1073	28
PHI	2003	INDOOR	1	63	0
PHI	2003	OUTDOOR	15	881	21
PHI	2004	INDOOR	2	110	3
PHI	2004	OUTDOOR	14	850	14
PHI	2005	INDOOR	2	121	7
PHI	2005	OUTDOOR	14	906	27
PHI	2006	INDOOR	2	110	5
PHI	2006	OUTDOOR	13	812	21
PHI	2006	RETRACTABLE	1	66	0
PHI	2007	INDOOR	2	130	3
PHI	2007	OUTDOOR	14	917	21
PHI	2008	OUTDOOR	16	1056	16
PHI	2009	INDOOR	1	55	0
PHI	2009	OUTDOOR	14	870	21
PHI	2009	RETRACTABLE	1	50	2
PHI	2010	INDOOR	1	68	2
PHI	2010	OUTDOOR	14	915	31
PHI	2010	RETRACTABLE	1	55	0
PHI	2011	INDOOR	2	134	4
PHI	2011	OUTDOOR	13	842	18
PHI	2011	RETRACTABLE	1	60	1
PHI	2012	INDOOR	1	77	2
PHI	2012	OUTDOOR	13	878	30
PHI	2012	RETRACTABLE	2	124	5
PHI	2013	INDOOR	1	65	0
PHI	2013	OUTDOOR	14	923	18
PHI	2013	RETRACTABLE	1	66	1
PHI	2014	INDOOR	1	65	0
PHI	2014	OUTDOOR	13	901	22
PHI	2014	RETRACTABLE	2	162	3
PIT	2002	INDOOR	1	68	1
PIT	2002	OUTDOOR	15	1029	25
PIT	2003	OUTDOOR	16	1020	24
PIT	2004	OUTDOOR	16	1012	20
PIT	2005	INDOOR	2	112	2
PIT	2005	OUTDOOR	13	794	20
PIT	2005	RETRACTABLE	1	54	0
PIT	2006	INDOOR	1	64	4
PIT	2006	OUTDOOR	15	977	23
PIT	2007	INDOOR	1	62	2
PIT	2007	OUTDOOR	14	876	16
PIT	2007	RETRACTABLE	1	62	3
PIT	2008	OUTDOOR	16	1015	28
PIT	2009	INDOOR	1	54	1
PIT	2009	OUTDOOR	15	960	21
PIT	2010	INDOOR	1	52	2
PIT	2010	OUTDOOR	15	941	20
PIT	2011	OUTDOOR	14	878	14
PIT	2011	RETRACTABLE	2	137	2
PIT	2012	OUTDOOR	15	962	31
PIT	2012	RETRACTABLE	1	61	2
PIT	2013	OUTDOOR	16	1023	16
PIT	2014	INDOOR	1	58	0
PIT	2014	OUTDOOR	15	1010	16
SD	2002	INDOOR	1	50	0
SD	2002	OUTDOOR	15	978	16
SD	2003	INDOOR	1	60	1
SD	2003	OUTDOOR	15	911	19
SD	2004	INDOOR	2	124	2
SD	2004	OUTDOOR	13	815	23
SD	2004	RETRACTABLE	1	57	2
SD	2005	INDOOR	1	71	2
SD	2005	OUTDOOR	15	951	20
SD	2006	OUTDOOR	16	1016	19
SD	2007	INDOOR	1	63	3
SD	2007	OUTDOOR	15	917	14
SD	2008	OUTDOOR	16	924	18
SD	2009	OUTDOOR	15	908	14
SD	2009	RETRACTABLE	1	64	0
SD	2010	INDOOR	1	61	0
SD	2010	OUTDOOR	13	869	24
SD	2010	RETRACTABLE	2	109	1
SD	2011	OUTDOOR	15	978	20
SD	2011	RETRACTABLE	1	70	0
SD	2012	INDOOR	1	65	1
SD	2012	OUTDOOR	15	923	23
SD	2013	OUTDOOR	16	1060	14
SD	2014	OUTDOOR	15	949	14
SD	2014	RETRACTABLE	1	60	1
SEA	2002	INDOOR	2	119	7
SEA	2002	OUTDOOR	14	931	16
SEA	2003	INDOOR	2	119	1
SEA	2003	OUTDOOR	14	898	22
SEA	2004	INDOOR	3	205	2
SEA	2004	OUTDOOR	13	829	17
SEA	2005	INDOOR	1	72	0
SEA	2005	OUTDOOR	15	948	18
SEA	2006	INDOOR	2	127	3
SEA	2006	OUTDOOR	13	858	14
SEA	2006	RETRACTABLE	1	60	4
SEA	2007	INDOOR	2	144	4
SEA	2007	OUTDOOR	13	851	15
SEA	2007	RETRACTABLE	1	61	2
SEA	2008	INDOOR	1	55	2
SEA	2008	OUTDOOR	14	800	16
SEA	2008	RETRACTABLE	1	72	2
SEA	2009	INDOOR	2	100	6
SEA	2009	OUTDOOR	10	668	19
SEA	2009	RETRACTABLE	4	277	8
SEA	2010	INDOOR	2	126	3
SEA	2010	OUTDOOR	13	765	15
SEA	2010	RETRACTABLE	1	73	0
SEA	2011	INDOOR	1	68	3
SEA	2011	OUTDOOR	13	801	18
SEA	2011	RETRACTABLE	2	134	1
SEA	2012	INDOOR	1	61	0
SEA	2012	OUTDOOR	12	732	13
SEA	2012	RETRACTABLE	3	181	3
SEA	2013	INDOOR	3	176	2
SEA	2013	OUTDOOR	12	733	19
SEA	2013	RETRACTABLE	1	64	4
SEA	2014	INDOOR	1	68	0
SEA	2014	OUTDOOR	14	886	22
SEA	2014	RETRACTABLE	1	67	1
SF	2002	INDOOR	2	127	6
SF	2002	OUTDOOR	14	955	9
SF	2003	INDOOR	2	135	2
SF	2003	OUTDOOR	14	903	22
SF	2004	INDOOR	2	120	4
SF	2004	OUTDOOR	14	906	29
SF	2005	INDOOR	1	50	1
SF	2005	OUTDOOR	15	815	30
SF	2006	INDOOR	3	171	2
SF	2006	OUTDOOR	12	688	20
SF	2006	RETRACTABLE	1	59	2
SF	2007	INDOOR	2	113	4
SF	2007	OUTDOOR	13	745	30
SF	2007	RETRACTABLE	1	67	1
SF	2008	INDOOR	2	116	3
SF	2008	OUTDOOR	13	777	32
SF	2008	RETRACTABLE	1	68	1
SF	2009	INDOOR	2	115	2
SF	2009	OUTDOOR	11	656	16
SF	2009	RETRACTABLE	3	168	5
SF	2010	INDOOR	2	115	8
SF	2010	OUTDOOR	13	759	13
SF	2010	RETRACTABLE	1	71	1
SF	2011	INDOOR	1	71	1
SF	2011	OUTDOOR	13	796	12
SF	2011	RETRACTABLE	2	126	1
SF	2012	INDOOR	3	185	4
SF	2012	OUTDOOR	12	732	22
SF	2012	RETRACTABLE	1	52	0
SF	2013	INDOOR	2	121	3
SF	2013	OUTDOOR	13	781	17
SF	2013	RETRACTABLE	1	59	0
SF	2014	INDOOR	2	133	2
SF	2014	OUTDOOR	12	761	16
SF	2014	RETRACTABLE	2	115	0
STL	2002	INDOOR	8	501	12
STL	2002	OUTDOOR	8	523	17
STL	2003	INDOOR	9	568	19
STL	2003	OUTDOOR	7	486	14
STL	2004	INDOOR	9	572	16
STL	2004	OUTDOOR	7	439	11
STL	2005	INDOOR	10	603	16
STL	2005	OUTDOOR	5	353	6
STL	2005	RETRACTABLE	1	69	2
STL	2006	INDOOR	9	639	8
STL	2006	OUTDOOR	6	366	8
STL	2006	RETRACTABLE	1	60	4
STL	2007	INDOOR	9	604	14
STL	2007	OUTDOOR	6	365	10
STL	2007	RETRACTABLE	1	57	1
STL	2008	INDOOR	9	573	6
STL	2008	OUTDOOR	6	345	10
STL	2008	RETRACTABLE	1	64	2
STL	2009	INDOOR	9	594	12
STL	2009	OUTDOOR	6	347	10
STL	2009	RETRACTABLE	1	57	2
STL	2010	INDOOR	10	681	11
STL	2010	OUTDOOR	5	305	3
STL	2010	RETRACTABLE	1	67	0
STL	2011	INDOOR	8	511	16
STL	2011	OUTDOOR	6	372	9
STL	2011	RETRACTABLE	2	130	2
STL	2012	INDOOR	7	447	9
STL	2012	OUTDOOR	7	446	12
STL	2012	RETRACTABLE	2	109	3
STL	2013	INDOOR	10	634	13
STL	2013	OUTDOOR	4	217	5
STL	2013	RETRACTABLE	2	117	2
STL	2014	INDOOR	8	483	15
STL	2014	OUTDOOR	7	416	11
STL	2014	RETRACTABLE	1	58	1
TB	2002	INDOOR	3	192	5
TB	2002	OUTDOOR	13	830	19
TB	2003	INDOOR	2	126	1
TB	2003	OUTDOOR	14	910	22
TB	2004	INDOOR	3	177	5
TB	2004	OUTDOOR	13	772	27
TB	2005	INDOOR	2	108	1
TB	2005	OUTDOOR	14	877	15
TB	2006	INDOOR	2	136	1
TB	2006	OUTDOOR	14	836	26
TB	2007	INDOOR	4	236	4
TB	2007	OUTDOOR	11	680	12
TB	2007	RETRACTABLE	1	59	2
TB	2008	INDOOR	3	186	4
TB	2008	OUTDOOR	13	859	17
TB	2009	INDOOR	2	125	3
TB	2009	OUTDOOR	14	836	22
TB	2010	INDOOR	2	104	2
TB	2010	OUTDOOR	13	794	20
TB	2010	RETRACTABLE	1	57	2
TB	2011	INDOOR	3	171	6
TB	2011	OUTDOOR	13	795	24
TB	2012	INDOOR	3	215	2
TB	2012	OUTDOOR	12	738	11
TB	2012	RETRACTABLE	1	55	3
TB	2013	INDOOR	4	242	5
TB	2013	OUTDOOR	12	739	13
TB	2014	INDOOR	3	170	8
TB	2014	OUTDOOR	13	767	21
TEN	2002	INDOOR	1	51	0
TEN	2002	OUTDOOR	14	921	20
TEN	2002	RETRACTABLE	1	60	0
TEN	2003	INDOOR	2	120	4
TEN	2003	OUTDOOR	13	822	20
TEN	2003	RETRACTABLE	1	71	0
TEN	2004	INDOOR	2	126	5
TEN	2004	OUTDOOR	13	867	24
TEN	2004	RETRACTABLE	1	60	4
TEN	2005	INDOOR	2	128	3
TEN	2005	OUTDOOR	13	832	23
TEN	2005	RETRACTABLE	1	62	1
TEN	2006	INDOOR	1	52	1
TEN	2006	OUTDOOR	14	829	27
TEN	2006	RETRACTABLE	1	64	1
TEN	2007	INDOOR	2	131	3
TEN	2007	OUTDOOR	13	825	26
TEN	2007	RETRACTABLE	1	82	3
TEN	2008	INDOOR	1	66	1
TEN	2008	OUTDOOR	13	812	14
TEN	2008	RETRACTABLE	2	95	3
TEN	2009	OUTDOOR	14	849	23
TEN	2009	RETRACTABLE	2	141	4
TEN	2010	OUTDOOR	13	744	20
TEN	2010	RETRACTABLE	3	163	2
TEN	2011	INDOOR	1	59	0
TEN	2011	OUTDOOR	14	849	16
TEN	2011	RETRACTABLE	1	76	1
TEN	2012	INDOOR	1	69	2
TEN	2012	OUTDOOR	14	828	19
TEN	2012	RETRACTABLE	1	60	0
TEN	2013	INDOOR	2	135	2
TEN	2013	OUTDOOR	14	897	25
TEN	2014	INDOOR	1	47	2
TEN	2014	OUTDOOR	15	872	21
WAS	2002	OUTDOOR	16	1039	34
WAS	2003	INDOOR	1	76	3
WAS	2003	OUTDOOR	15	915	18
WAS	2004	INDOOR	1	58	0
WAS	2004	OUTDOOR	15	965	20
WAS	2005	INDOOR	1	63	1
WAS	2005	OUTDOOR	15	974	28
WAS	2006	INDOOR	3	187	4
WAS	2006	OUTDOOR	12	724	15
WAS	2006	RETRACTABLE	1	68	1
WAS	2007	INDOOR	1	64	2
WAS	2007	OUTDOOR	15	988	33
WAS	2008	INDOOR	1	64	2
WAS	2008	OUTDOOR	15	962	18
WAS	2009	INDOOR	2	121	2
WAS	2009	OUTDOOR	13	791	28
WAS	2009	RETRACTABLE	1	58	0
WAS	2010	INDOOR	2	113	5
WAS	2010	OUTDOOR	13	826	23
WAS	2010	RETRACTABLE	1	63	1
WAS	2011	INDOOR	1	69	3
WAS	2011	OUTDOOR	13	847	20
WAS	2011	RETRACTABLE	2	116	2
WAS	2012	INDOOR	2	130	3
WAS	2012	OUTDOOR	13	802	23
WAS	2012	RETRACTABLE	1	62	0
WAS	2013	INDOOR	2	144	6
WAS	2013	OUTDOOR	13	888	22
WAS	2013	RETRACTABLE	1	75	2
WAS	2014	INDOOR	2	136	6
WAS	2014	OUTDOOR	12	749	23
WAS	2014	RETRACTABLE	2	121	2
